country,year,attack_type,target_industry,financial_loss_million,affected_users,attack_source,vulnerability,defense_mechanism,resolution_time_hr,url,url_type,site_label
UK,2022,Malware,Healthcare,12.67,781284,Hacker Group,Weak Passwords,Firewall,11,genforum.genealogy.com/houghtaling/page2.html,benign,good
Japan,2024,DDoS,IT,7.99,805548,Insider,Unpatched Software,Antivirus,10,eskimotube.com/show.php?search=%22Mikayla%20Mendez%22&prec=yes,benign,good
France,2017,Malware,Banking,40.87,719537,Nation-state,Zero-day,AI-based Detection,23,manta.com/ic/mt69y68/ca/quebecor-media-inc,benign,good
India,2024,Ransomware,Government,79.3,998833,Hacker Group,Social Engineering,Firewall,21,tripadvisor.com/Hotel_Review-g1508995-d1507654-Reviews-La_Ferme_Manoir_Saint_Barthelemy-Juaye_Mondaye_Calvados_Basse_Normandie_Normandy.html,benign,good
France,2021,SQL Injection,Telecommunications,52.67,434504,Unknown,Social Engineering,AI-based Detection,46,http://www.sprintcar.ro/produse-chimice/masticuri-si-produse-de-etansare/157-mastic-poliuretanic-pentru-imbinari.html,defacement,good
USA,2021,Phishing,Education,6.01,176772,Insider,Unpatched Software,Firewall,6,woodcarvers.com/links.htm,benign,bad
France,2020,Ransomware,Telecommunications,10.52,253094,Hacker Group,Unpatched Software,VPN,19,banckounico.000webhostapp.com,phishing,good
Brazil,2022,Malware,Retail,78.03,660707,Insider,Unpatched Software,Firewall,11,http://style.org.hc360.com/css/detail/mysite/siteconfig/pro_control.css,malware,good
China,2016,Ransomware,Government,72.25,860664,Unknown,Zero-day,Firewall,10,123people.ca/s/jacques+campeau,benign,good
Russia,2023,DDoS,IT,86.81,717258,Insider,Unpatched Software,Firewall,16,manta.com/c/mtpgdkm/k-g-b-j-enterprises,benign,good
USA,2018,Man-in-the-Middle,Banking,85.29,685291,Hacker Group,Social Engineering,Encryption,53,lyricsmode.com/lyrics/j/jeff_black/,benign,good
France,2023,Ransomware,Education,17.72,261661,Insider,Social Engineering,VPN,11,barnonek9.webs.com/,benign,good
USA,2017,SQL Injection,Government,60.66,5346,Unknown,Zero-day,Antivirus,69,http://olx.co.id/i2/elektronik-gadget/elektronik-rumah-tangga/kulkas-freezer/elektronik-gadget/elektronik-rumah-tangga/kulkas-freezer,benign,bad
Brazil,2017,Man-in-the-Middle,IT,56.83,171305,Unknown,Unpatched Software,Firewall,54,http://indianexpress.com/videos//video-arvind-kejriwal-apologises-for-speaking-on-when-farmer-tried-to-kill-self/,benign,bad
France,2024,Phishing,Healthcare,14.38,278126,Unknown,Social Engineering,Antivirus,30,absoluteastronomy.com/topics/Richard_Bélisle,benign,good
China,2024,SQL Injection,Government,84.23,568377,Unknown,Social Engineering,Antivirus,38,lovefilm.com/browse/film/thriller/erotic/,benign,good
Brazil,2019,Man-in-the-Middle,Banking,14.64,880671,Hacker Group,Social Engineering,Firewall,66,adkmuseum.org/,benign,good
USA,2017,Malware,Education,78.38,516103,Hacker Group,Unpatched Software,Firewall,62,nfb.ca/film/ryan/,benign,bad
India,2019,Phishing,IT,33.15,629687,Unknown,Social Engineering,Firewall,53,http://fudavida.org/login/mostronix/53369123e22c659d1ea1aa0afaa60e1aYWM3NWMyOGIzYzViZjk0YmIyMWZiNzYzYTY5NDc5NDQ=/resolution/websc_login/,phishing,good
France,2015,Phishing,Retail,84.86,190100,Nation-state,Zero-day,AI-based Detection,69,www.angelfire.com/pa/Aedan/cor.html,phishing,good
Germany,2023,Ransomware,Healthcare,28.18,707214,Unknown,Weak Passwords,AI-based Detection,11,http://copremon.com.br/index.html,defacement,bad
Australia,2017,SQL Injection,IT,99.99,672966,Hacker Group,Zero-day,Firewall,13,http://www.ekn-online.de/index.php?option=com_content&view=article&id=137:die-stephanskirche&catid=95:stephanskirche&Itemid=144,defacement,good
Australia,2019,Man-in-the-Middle,Banking,47.67,112313,Insider,Social Engineering,Firewall,63,thebaseballcube.com/players/profile.asp?P=/Doug-DeCinces.shtml,benign,good
USA,2021,Man-in-the-Middle,Education,51.43,640851,Unknown,Zero-day,VPN,11,http://michaelgoczol.de/hp/gallery/advertising/luxuryhotel/francesuite,defacement,good
France,2020,DDoS,Healthcare,58.8,153523,Insider,Social Engineering,Encryption,22,www.cont22.ru/webadmin1/14896746514987465321455.php,benign,good
India,2020,Phishing,Retail,12.64,805905,Nation-state,Social Engineering,Firewall,54,http://www.thetunes.nl/tour/details/7-landje-van-pop,defacement,good
France,2016,DDoS,Banking,25.81,132286,Insider,Unpatched Software,Antivirus,66,http://www.olderforyounger.co.uk/sejeal.jpg,defacement,bad
India,2018,Man-in-the-Middle,Healthcare,56.88,416331,Hacker Group,Unpatched Software,Encryption,62,app.qmailer.co.uk/link/8556/3619333/179552,benign,bad
Japan,2019,DDoS,Banking,81.89,920270,Nation-state,Unpatched Software,Antivirus,20,hfboards.com/showthread.php?t=1018461&goto=newpost,benign,good
India,2023,SQL Injection,Government,28.71,497965,Unknown,Unpatched Software,VPN,25,alpes.icgauth.cyberplus.banquepopulaire.fr.websso.bp.13807.emparecoin.ro,phishing,good
Japan,2019,Ransomware,Telecommunications,34.93,721984,Nation-state,Weak Passwords,VPN,44,http://www.reimer-gartenbau.de/afo/english%20newchn/newchn/,phishing,good
China,2020,Malware,Healthcare,24.78,275619,Nation-state,Weak Passwords,Antivirus,4,loja.planetaimports.net/~mpolvora/accounts.department.online.team/webscr.php?cmd=_login-run,benign,good
Germany,2020,SQL Injection,Telecommunications,27.52,488501,Nation-state,Social Engineering,Encryption,47,artscipub.com/repeaters/dsprpts.asp?state=California&startat=1126,benign,good
UK,2020,Phishing,Telecommunications,43.72,402744,Insider,Zero-day,AI-based Detection,65,acmepackingcompany.com/2011/9/4/2404228/packers-roster-six-defensive-lineman-remain,benign,good
Australia,2017,Man-in-the-Middle,Retail,47.97,36780,Insider,Unpatched Software,AI-based Detection,64,wvculture.org/history/jbexhibit/pateonbrown.html,benign,good
Brazil,2016,DDoS,Government,80.09,555275,Unknown,Social Engineering,Antivirus,71,http://ringring.vn/bi-mang-vi-hut-shisha-nu-sinh-ha-noi-dam-chet-ban-trai-cua-me-118384.html,benign,good
France,2021,SQL Injection,Government,42.75,467551,Unknown,Unpatched Software,Encryption,61,http://techcrunch.com/gallery/hands-on-with-the-new-microsoft-lumia-640-and-640xl-phones/,benign,good
Germany,2022,Man-in-the-Middle,Telecommunications,62.83,828280,Hacker Group,Social Engineering,VPN,62,searchquotes.com/search/Kush/,benign,good
India,2022,Ransomware,Education,57.52,170002,Unknown,Unpatched Software,AI-based Detection,54,amazon.com/Influence-Fear-Salesmen-Frank-Budd/dp/B0038CQRC2,benign,good
USA,2020,SQL Injection,IT,68.17,247149,Nation-state,Unpatched Software,Antivirus,47,uk.linkedin.com/pub/david-usher/15/85B/342,benign,bad
USA,2016,Phishing,Government,63.35,223827,Insider,Zero-day,Antivirus,21,heartdisease.about.com/b/2011/09/29/cardiac-arrest.htm,benign,good
China,2022,Phishing,Retail,51.76,355545,Unknown,Weak Passwords,Encryption,68,forum.purseblog.com/yves-saint-laurent/ysl-cabas-chyc-leather-tote-702554.html,benign,good
China,2018,SQL Injection,Government,1.89,83376,Insider,Unpatched Software,Firewall,62,www.und.nodak.edu/org/crypto/crypto/,phishing,good
Brazil,2020,Ransomware,Banking,99.9,429566,Nation-state,Zero-day,AI-based Detection,54,camfuze.com/sandrashane,benign,good
Russia,2019,DDoS,IT,71.22,705326,Hacker Group,Unpatched Software,Encryption,19,www.mmr-us.com/7488820960/1343536547368/,benign,good
Germany,2024,Phishing,IT,2.85,951767,Nation-state,Weak Passwords,AI-based Detection,10,en.wikipedia.org/wiki/Earthquake_engineering,benign,good
Russia,2016,Ransomware,Healthcare,5.18,719532,Insider,Unpatched Software,VPN,10,yinhualeather.com,phishing,good
Australia,2022,SQL Injection,Retail,56.62,310341,Unknown,Weak Passwords,Encryption,32,www.angelfire.com/super/naomicampbell/,phishing,good
UK,2023,Phishing,Healthcare,23.66,889641,Hacker Group,Social Engineering,AI-based Detection,50,marshallindependent.com/page/content.detail/id/529184/Marshall-s-Megan-Vogl-suits-up-with-neighbors-from-the-North.html?nav=5021,benign,good
Brazil,2023,Phishing,Healthcare,14.51,113777,Nation-state,Weak Passwords,VPN,27,naqt.com/YouGottaKnow/kings-of-france.html,benign,good
India,2021,SQL Injection,Government,18.26,78277,Hacker Group,Weak Passwords,Firewall,51,beemp3.com/download.php?file=349558&song=Minority+Report+%28Feat.+Ne-Yo%29,benign,good
Japan,2023,SQL Injection,Banking,43.96,459922,Nation-state,Zero-day,Encryption,12,paulandyoungron.com/pages/show-archive.html?article=9099524,benign,bad
China,2021,Ransomware,Education,21.9,304804,Hacker Group,Weak Passwords,AI-based Detection,53,pinoyexchange.com/forums/archive/index.php/t-275106.html,benign,bad
France,2024,Phishing,Education,52.03,168684,Nation-state,Unpatched Software,VPN,27,myspace.com/juliecmusic/music,benign,good
Germany,2019,Phishing,Education,90.91,112635,Insider,Weak Passwords,Firewall,55,corkin.com/listings/viewlisting.cfm?listingid=273969&t=Highest-Quality-Human-Hair-Wigs-Highest-Quality-Wigs-High-Quality-Wigs,benign,good
UK,2024,Malware,Education,64.05,116714,Insider,Social Engineering,Encryption,37,http://teespring.com/en-AU/atp-shirt?utm_campaign=atp-shirt&utm_medium=oembed&utm_source=wordpress,benign,good
Australia,2016,DDoS,Healthcare,98.25,412019,Unknown,Weak Passwords,Antivirus,34,findagrave.com/cgi-bin/fg.cgi?page=gsr&GSfn=&GSmn=&GSln=Ruddy&GSby=&GSbyrel=in&GSdy=&GSdyrel=in&GScntry=0&GSst=0&GSob=n,benign,bad
USA,2017,Phishing,Government,55.34,785099,Insider,Social Engineering,Encryption,29,http://www.skshu.com.cn/index.aspx,defacement,bad
Japan,2020,Phishing,IT,99.57,786468,Nation-state,Social Engineering,AI-based Detection,42,en.iiok.asia/login/en/index.htm,benign,good
Germany,2024,Man-in-the-Middle,IT,84.19,89704,Hacker Group,Social Engineering,Antivirus,26,http://style.org.hc360.com/css/detail/mysite/siteconfig/pro_control.css,malware,bad
UK,2024,Phishing,Banking,30.39,156576,Hacker Group,Unpatched Software,VPN,72,tools.ietf.org/html/rfc2625,phishing,good
Australia,2016,Man-in-the-Middle,Government,31.92,163602,Hacker Group,Unpatched Software,VPN,26,https://pastebin.com/raw/sebYArnx,malware,good
USA,2021,DDoS,Telecommunications,1.98,863623,Hacker Group,Weak Passwords,Firewall,24,http://royalfarm-eg.com/index.php?option=com_k2&view=itemlist&task=user&id=62:administrator&Itemid=207,defacement,good
Germany,2022,Malware,Retail,60.85,125300,Insider,Weak Passwords,AI-based Detection,11,pastehtml.com/view/b9x7im10c.html,benign,bad
Japan,2017,Ransomware,Retail,59.13,747705,Insider,Unpatched Software,VPN,47,http://premtrading.com/index.html?page_id=94,defacement,good
Australia,2016,Malware,IT,30.72,977343,Hacker Group,Weak Passwords,VPN,47,facebook.com/john.gabler,benign,good
Germany,2016,SQL Injection,Retail,56.57,869605,Unknown,Social Engineering,VPN,51,servers.4ost.eu/~chg/personal.co-operativebank/co-operativeinvestments.co.uk.htm,benign,good
Brazil,2024,DDoS,Telecommunications,36.69,738981,Unknown,Social Engineering,VPN,45,erinmccann.avonrepresentative.com/,benign,good
Japan,2021,Man-in-the-Middle,Healthcare,55.4,68886,Hacker Group,Weak Passwords,AI-based Detection,41,texasstation.com/,benign,good
Germany,2024,Phishing,Healthcare,66.73,540773,Unknown,Unpatched Software,VPN,15,princeton.edu/sociology/faculty/,benign,bad
Brazil,2015,Man-in-the-Middle,Banking,74.27,551388,Unknown,Unpatched Software,Encryption,51,lyricsbay.com/everything_lyrics-arashi.html,benign,good
India,2022,SQL Injection,Banking,27.86,310150,Unknown,Unpatched Software,AI-based Detection,21,axionnet.tripod.com/index.html,phishing,bad
Australia,2018,DDoS,Education,3.3,45027,Unknown,Social Engineering,Antivirus,68,http://pagesyouraccount.cloudns.asia/check.php,phishing,bad
France,2017,Phishing,Retail,90.69,275185,Nation-state,Zero-day,Encryption,20,http://bluegape.com/relationships/sakshee_joshi/10-things-you-should-do-only-with-your-best-friends/1.8em,benign,good
Brazil,2016,SQL Injection,Education,16.24,238092,Nation-state,Zero-day,AI-based Detection,32,flightdecs.ca/A_mikegrant_32.htm,benign,good
France,2015,Man-in-the-Middle,Healthcare,79.58,856278,Hacker Group,Zero-day,Firewall,71,mail-archives.apache.org/mod_mbox/uima-user/200708.mbox/%3c63e2e4460708290750x51c10630m6a3703ff137643c9@mail.gmail.com%3e,benign,bad
Japan,2022,Ransomware,Retail,71.26,440529,Insider,Weak Passwords,Encryption,20,http://www.prosenior.ch/index.php?option=com_content&view=category&layout=blog&id=35&Itemid=10&limitstart=4,defacement,bad
Germany,2023,SQL Injection,Banking,94.48,426499,Unknown,Unpatched Software,VPN,37,mylife.com/c-592992624,benign,bad
Brazil,2024,Man-in-the-Middle,Healthcare,26.92,695427,Nation-state,Zero-day,Encryption,28,balitoproperty.co.za/wp-content/uploads/2012/Trulia/index.htm,benign,good
Japan,2020,Ransomware,Banking,40.86,565080,Unknown,Zero-day,Encryption,6,http://www.portmacau.com/gaj/product_show.asp?id=61,defacement,bad
Russia,2017,Phishing,Retail,20.58,768022,Unknown,Zero-day,VPN,64,torrentreactor.net/torrents/3558065/Lesbians-on-Ecstasy-Discography,benign,good
UK,2020,SQL Injection,Banking,73.69,522097,Hacker Group,Weak Passwords,VPN,63,thefreelibrary.com/UMB+Financial+Corporation+Reports+Year-Over-Year+Earnings+Growth+on...-a0158173549,benign,good
India,2020,Malware,Education,20.14,287352,Unknown,Zero-day,Firewall,69,haryanvidigital.com,phishing,bad
China,2024,Malware,Education,72.35,132726,Hacker Group,Zero-day,Firewall,55,playsynthesizer.com/legends/bernie_worrell.html,benign,good
Brazil,2018,Malware,Retail,27.82,526161,Unknown,Unpatched Software,AI-based Detection,12,http://www.austvisiontax.com.au/index.php/specialisations/building-construction/84-terms-of-use?tmpl=component&print=1&page=,defacement,good
USA,2017,Phishing,IT,48.96,480386,Nation-state,Zero-day,Antivirus,18,virtualtourist.com/hotels/North_America/Canada/Province_of_Quebec/Mont_Tremblant-906401/Hotels_and_Accommodations-Mont_Tremblant-Wyndham_Cap_Tremblant_Mountain_Resort-BR-1.html,benign,bad
Germany,2024,DDoS,Telecommunications,67.47,337890,Unknown,Weak Passwords,Antivirus,35,www.quinapalus.com/cgi-bin/match,phishing,good
USA,2024,Phishing,Healthcare,17.64,8334,Unknown,Zero-day,Firewall,13,http://www.shirley.com.sg/description.php?mid=5240,defacement,good
Brazil,2022,Man-in-the-Middle,Retail,89.11,749386,Unknown,Unpatched Software,Firewall,16,http://scratchartstudio.com/index.php?option=com_content&view=article&id=49&Itemid=41,defacement,bad
Brazil,2024,SQL Injection,Healthcare,41.05,175957,Hacker Group,Zero-day,Antivirus,69,http://virgiliogomes.com/livros/423-alentejo-alem-mar,defacement,good
UK,2024,SQL Injection,Retail,48.33,422592,Nation-state,Unpatched Software,VPN,37,hockeydb.com/ihdb/stats/pdisplay.php?pid=3368,benign,bad
USA,2018,Man-in-the-Middle,Retail,97.62,459039,Nation-state,Weak Passwords,Firewall,68,www.whatelse.it/wp-content/upgrade/paypal.htm,benign,good
Russia,2018,Phishing,Education,94.6,596801,Nation-state,Weak Passwords,Antivirus,70,pipl.com/directory/name/Brassard/Josh,benign,good
UK,2024,DDoS,Retail,88.54,518181,Insider,Zero-day,Antivirus,24,nukesoccer.com/world-cup-2014-qualifiers-canada-gets-point-moves-on/,benign,good
India,2022,Man-in-the-Middle,Government,4.05,357898,Hacker Group,Social Engineering,Firewall,27,americantowns.com/nd/lamoure,benign,good
Russia,2018,Man-in-the-Middle,Telecommunications,4.92,783480,Insider,Zero-day,AI-based Detection,55,http://graphicriver.net/search?category=fonts&date=this-month&length_max=&length_min=&price_max=&price_min=&rating_min=&sales=&sort=sales&term=&utf8=%E2%9C%93&view=list,benign,good
Australia,2022,SQL Injection,Telecommunications,56.2,571454,Insider,Weak Passwords,VPN,42,imdb.com/name/nm0821406/,benign,bad
USA,2018,SQL Injection,Banking,63.8,341383,Nation-state,Weak Passwords,Antivirus,9,www.codeguru.com/Csharp/Csharp/cs_collections/article.php/c5505,phishing,good
China,2022,DDoS,Retail,77.74,642501,Hacker Group,Zero-day,AI-based Detection,19,concordiakirkwood.org/Index.asp?PageID=11547,benign,good
France,2023,Phishing,Education,5.8,206203,Hacker Group,Social Engineering,Encryption,7,http://s-tab.ru/portfolio/category/3-plastik.html,defacement,bad
India,2017,Phishing,IT,93.62,899005,Insider,Weak Passwords,AI-based Detection,61,http://www.creuzadema.net/index.php?view=article&catid=39:varie&id=185:cofanetto-dvd-dentro-faber&tmpl=component&print=1&layout=default&page=,defacement,bad
Germany,2019,SQL Injection,Banking,77.65,989592,Insider,Weak Passwords,Antivirus,49,insideschools.org/elementary/browse/school/700,benign,good
Germany,2018,Phishing,Government,46.92,610201,Nation-state,Weak Passwords,VPN,72,www.evoec.com/wp-content/plugins/image-zoom/centurylink.net.html,benign,good
Germany,2020,DDoS,Government,32.71,846169,Hacker Group,Zero-day,VPN,59,www.smile.ath.cx/downloads.html,phishing,bad
France,2016,SQL Injection,Healthcare,10.82,586784,Hacker Group,Weak Passwords,Encryption,26,oklahomacity.citysearch.com/profile/42912714/midwest_city_ok/sheraton_midwest_city_hotel_reed_conf_ctr.html,benign,good
Russia,2018,DDoS,Retail,64.39,359124,Insider,Unpatched Software,AI-based Detection,13,http://shaunlarsen.com/index.php?option=com_content&view=article&id=18&Itemid=27,defacement,bad
Australia,2018,DDoS,Education,64.62,109439,Insider,Zero-day,Antivirus,32,chicagonow.com/publius-forum/2010/10/democrats-stealing-elections-illinois-dems-deny-military-the-vote-in-2010-election/,benign,good
USA,2015,Man-in-the-Middle,IT,46.27,117231,Unknown,Unpatched Software,AI-based Detection,28,sailingweatheronline.wordpress.com/,benign,bad
Japan,2015,Phishing,Education,2.43,552342,Unknown,Zero-day,VPN,62,artv82011.eventbrite.com/,benign,good
Japan,2015,Malware,Telecommunications,28.8,915532,Insider,Zero-day,Encryption,68,http://kotaku.com/theres-going-to-be-star-trek-green-lantern-comics-cross-1695760195/+cherylvis,benign,good
Japan,2016,Phishing,Education,30.42,272199,Nation-state,Zero-day,Antivirus,29,http://www.slavia.sk/tlacove-spravy-eng/energy-snina-to-launch-operation-of-new-thermal-aggregate,defacement,good
Germany,2016,Phishing,Banking,40.18,153211,Nation-state,Weak Passwords,Encryption,43,pictureshistory.blogspot.com/2009/10/second-world-war-eastern-front.html,benign,good
France,2016,Phishing,IT,78.12,770227,Unknown,Zero-day,Antivirus,20,lyricsmania.com/dont_eat_meat_lyrics_humanifesto.html,benign,good
France,2021,Ransomware,Government,2.39,665023,Insider,Unpatched Software,Firewall,49,english.turkcebilgi.com/Quebec+Junior+Football+League,benign,bad
Australia,2015,Man-in-the-Middle,Education,20.96,248083,Hacker Group,Social Engineering,Encryption,70,facebook.com/nils.graf,benign,good
USA,2020,Phishing,Retail,99.64,464717,Insider,Weak Passwords,VPN,27,tools.ietf.org/html/rfc2066,phishing,good
USA,2021,Ransomware,Education,84.64,534283,Insider,Social Engineering,VPN,49,www.cs.ioc.ee/~tarmo,phishing,good
France,2019,SQL Injection,Telecommunications,27.91,399457,Nation-state,Weak Passwords,Firewall,48,www.yutopian.com/chinesechess/,phishing,bad
UK,2024,Ransomware,Banking,12.22,860343,Hacker Group,Weak Passwords,Antivirus,42,dvdownunder.com.au/item.php?id=19897,benign,bad
Brazil,2020,DDoS,Telecommunications,4.52,52302,Unknown,Social Engineering,VPN,58,recordspedia.com/Washington/Cowlitz-County/Public-Records,benign,good
Australia,2018,DDoS,Education,64.62,109439,Insider,Zero-day,Antivirus,32,http://ap.org/Content/Press-Release/2012/President-Obama-IMF-chief-Lagarde-to-speak-at-AP-annual-meeting-and-lunch,benign,bad
India,2020,Phishing,Government,85.73,340643,Unknown,Zero-day,Firewall,72,dmoz.org/Arts/Animation/Voice_Actors/Resources/,benign,good
India,2024,Ransomware,Retail,17.57,236253,Unknown,Social Engineering,Firewall,38,http://161.35.102.253/i586,malware,bad
USA,2015,DDoS,IT,66.39,365006,Insider,Weak Passwords,VPN,47,baseball-reference.com/minors/team.cgi?id=d341bf7f,benign,good
India,2021,SQL Injection,Healthcare,2.3,942089,Insider,Unpatched Software,VPN,39,potomacbizgroup.com/principal.htm,benign,good
India,2015,Phishing,Retail,49.51,72782,Unknown,Zero-day,Encryption,63,people.famouswhy.com/selma_blair/,benign,good
Germany,2018,Phishing,Telecommunications,84.9,800031,Unknown,Unpatched Software,Encryption,10,www.fishwasher.com/acp/,phishing,good
Brazil,2020,Phishing,Telecommunications,92.63,725707,Hacker Group,Weak Passwords,AI-based Detection,9,imdb.com/name/nm0122595/,benign,good
UK,2021,Malware,Telecommunications,82.28,370146,Nation-state,Zero-day,VPN,55,boxingstreamer.blogspot.com/2011/09/showtime-boxing-olusegun-ajose-vs-ali.html,benign,good
USA,2024,Malware,Retail,52.2,579778,Nation-state,Zero-day,Firewall,57,facebook.com/FoxMovies,benign,bad
UK,2015,Man-in-the-Middle,Telecommunications,71.9,733671,Insider,Zero-day,VPN,20,http://halalreturns.com/index.php?option=com_content&view=archive&year=2005&month=12,defacement,bad
Japan,2018,Malware,Education,5.33,656250,Hacker Group,Social Engineering,Firewall,67,facebook.com/tom.crittenden,benign,good
France,2023,Ransomware,IT,87.45,296050,Insider,Weak Passwords,VPN,30,youtube.com/watch?v=7ct2KuomfGY,benign,bad
UK,2019,Phishing,IT,3.33,232665,Unknown,Social Engineering,AI-based Detection,65,lbeq.com/?corps=nouvelle&annee=2011&P_ZONE_MENU=7&P_ZONE_SMENU=16&P_ID_NOUVELLE=17246&P_AFFICHE_DATE=true&FORM=1,benign,good
Japan,2018,DDoS,IT,9.9,942725,Insider,Zero-day,VPN,56,chainreactioncycles.com/Brands.aspx?BrandID=112,benign,bad
UK,2020,Ransomware,Banking,49.23,128594,Nation-state,Weak Passwords,Firewall,53,http://rendeck.com/index.php/en/staffing,defacement,good
France,2022,Phishing,IT,78.2,666996,Insider,Weak Passwords,Encryption,59,http://www.tiendagnulinux.com.ar/calcomanias-en-vinilo?page=shop.browse&category_id=17,defacement,bad
UK,2018,Man-in-the-Middle,IT,75.81,574089,Unknown,Unpatched Software,Firewall,32,http://www.ikenmijnkunst.nl/index.php?start=15,defacement,good
Germany,2022,Ransomware,Education,87.93,471889,Nation-state,Zero-day,Antivirus,4,http://zimmermannmedia.com/index.php?option=com_content&view=category&layout=blog&id=37&Itemid=58,defacement,good
France,2023,Phishing,Education,5.8,206203,Hacker Group,Social Engineering,Encryption,7,briansdriveintheater.com/yvettevickers.html,benign,good
Germany,2018,Man-in-the-Middle,Healthcare,61.93,62185,Nation-state,Social Engineering,Encryption,32,http://huamuxtitlan.com/index.php?option=com_community&view=search&task=browse&sort=latest&Itemid=104,defacement,bad
USA,2020,DDoS,Banking,99.81,948174,Unknown,Social Engineering,AI-based Detection,4,https://homen-atendimento.joomla.com/sec/index.php?q=5bfzoos55bfz-q4hq-5bfzq4hqq4hq-gkz9q4hq&amp;s=5bfzoos55bfz-q4hq-5bfzq4hqq4hq-gkz9q4hq&amp;n=5bfzoos55bfz-q4hq-5bfzq4hqq4hq-gkz9q4hq,phishing,good
USA,2024,Ransomware,IT,16.61,912183,Unknown,Weak Passwords,Encryption,44,sportsillustrated.cnn.com/2004/magazine/03/29/athletics/,benign,good
Japan,2015,Phishing,Banking,87.5,429920,Nation-state,Zero-day,Encryption,37,http://www.productiva.com.br/index.php?option=com_mailto&tmpl=component&link=aHR0cDovL3d3dy5wcm9kdWN0aXZhLmNvbS5ici9pbmRleC5waHA%2Fb3B0aW9uPWNvbV9jb250ZW50JnZpZXc9YXJ0aWNsZSZpZD0xMDI6bWFwYXMtZ2VvZ3JhZmljb3Mtbm8tb2JpZWUtMTFnJmNhdGlkPTQzOnByb2R1Y3RpdmE=,defacement,bad
UK,2024,Ransomware,Healthcare,90.37,540353,Hacker Group,Unpatched Software,Antivirus,68,http://www.sementimenzo.it/formazione.html,defacement,good
Australia,2023,Malware,Education,67.23,362308,Unknown,Social Engineering,AI-based Detection,5,http://gargiulo.com.ar/wp-content/image/oja2.exe,malware,good
Brazil,2023,Man-in-the-Middle,Retail,59.18,610786,Nation-state,Social Engineering,AI-based Detection,31,http://javadoplant.nl/nl/woonplant-van-de-maand-2013/363-woonplant-van-de-maand-januari.html,defacement,good
Germany,2022,SQL Injection,Government,47.92,112688,Nation-state,Social Engineering,VPN,15,yellowpages.ca/bus/Quebec/Saint-Leonard/Bussieres-J-M-Fils-Ltee/2640311.html,benign,good
India,2015,Phishing,IT,25.47,741259,Hacker Group,Unpatched Software,Antivirus,18,http://creditmaster.eu/7416077659/53267548824646/,phishing,good
Australia,2016,DDoS,IT,43.19,825866,Unknown,Weak Passwords,Firewall,23,logfm.com/radio/23225-wmji/,benign,good
Russia,2023,SQL Injection,Education,0.98,623106,Nation-state,Weak Passwords,Firewall,43,mindstreamacademy.com/aol.com.htm,benign,good
Germany,2019,Malware,Healthcare,98.45,32423,Hacker Group,Weak Passwords,Antivirus,45,fionabradley.com,phishing,good
India,2019,Man-in-the-Middle,Government,98.86,48647,Unknown,Zero-day,Encryption,48,http://www.skirennlauf.de/index.php?option=com_virtuemart&page=shop.browse&category_id=128&Itemid=158,defacement,good
Germany,2021,DDoS,Government,28.71,937384,Hacker Group,Unpatched Software,Encryption,67,foxystoat.com/forum/showthread.php?t=11700,benign,good
